Species	WP028_5z	WP029_6c	WP030_23	WP031_14	WP033_26	WP034_11	WP035_5c	WP036_2z	WP037_32	WP038_28	WP039_18	WP040_4c	WP041_2c	WP032_9	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Candida_subhashii	7378.0	3368.0	2329.0	5651.0	481.0	94.0	10637.0	46249.0	12681.0	28.0	85.0	6029.0	1316.0	7.0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_subhashii	96333.0	Animal Pathogen, Endophyte, Endosymbiont, Epiphyte, Soil Saprotroph, Undefined Saprotroph	Nop
Trichoderma_theobromicola	12721.0	2050.0	3884.0	1386.0	2346.0	7370.0	2128.0	11410.0	6061.0	651.0	2412.0	19338.0	1875.0	5627.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_theobromicola	79259.0	Animal Pathogen, Endophyte, Epiphyte, Fungal Parasite, Plant Pathogen, Wood Saprotroph	Pat
Oidiodendron_sp	1406.0	14959.0	933.0	1094.0	714.0	116.0	5924.0	1416.0	2118.0	134.0	175.0	3577.0	1025.0	313.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron_sp	33904.0	Ericoid Mycorrhizal	Myc
Meliniomyces_sp	7074.0	11789.0	1343.0	4607.0	1516.0	116.0	5565.0	1002.0	11398.0	122.0	202.0	13156.0	2884.0	218.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Meliniomyces	Meliniomyces_sp	60992.0	Ectomycorrhizal, Endophyte, Ericoid Mycorrhizal, Litter Saprotroph, Orchid Mycorrhizal	Myc
Saitozyma_podzolica	381.0	220.0	2870.0	1438.0	1677.0	7221.0	159.0	342.0	367.0	6992.0	2293.0	372.0	1666.0	4565.0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma_podzolica	30563.0	NA	ENA
Fungi_sp	7761.0	5393.0	3544.0	2047.0	2878.0	2095.0	12119.0	10676.0	4409.0	5843.0	2879.0	4949.0	12124.0	3341.0	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	80059.0	NA	ENA
Thelephora_terrestris	741.0	85.0	54.0	6327.0	2229.0	823.0	24459.0	21134.0	126.0	1604.0	84.0	30.0	5832.0	28.0	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_terrestris	63567.0	NA	ENA
Thyridium_flavostromatum	0.0	0.0	0.0	3.0	782.0	11.0	0.0	0.0	1.0	14243.0	67.0	3.0	1.0	51.0	Fungi	Ascomycota	Sordariomycetes	Thyridiales	Thyridiaceae	Thyridium	Thyridium_flavostromatum	15162.0	Wood Saprotroph	Sap
Tulasnellaceae_sp	1137.0	15455.0	70.0	479.0	148.0	63.0	14618.0	15579.0	15210.0	153.0	34.0	628.0	97.0	25.0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnellaceae_gen_Incertae_sedis	Tulasnellaceae_sp	63696.0	NA	ENA
Mortierella_gemmifera	11970.0	0.0	28.0	12.0	717.0	1.0	15.0	14.0	8.0	3.0	17.0	2.0	4.0	6.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_gemmifera	12797.0	Endophyte, Litter Saprotroph, Soil Saprotroph, Undefined Saprotroph	Sap
Inocybe_sp	2544.0	1632.0	1022.0	1329.0	2376.0	955.0	2926.0	2325.0	1470.0	737.0	929.0	2642.0	2517.0	387.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_sp	23791.0	Ectomycorrhizal	Myc
Helotiales_sp	413.0	2416.0	1550.0	804.0	2257.0	3184.0	321.0	354.0	446.0	3823.0	2085.0	752.0	1701.0	6604.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp	26726.0	NA	ENA
Solicoccozyma_terricola	2779.0	803.0	2391.0	2135.0	1888.0	2449.0	2656.0	1674.0	2955.0	6881.0	4337.0	1986.0	2311.0	2471.0	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola	37716.0	NA	ENA
Pyrenochaeta_sp	744.0	1220.0	21.0	84.0	248.0	144.0	448.0	176.0	29.0	34.0	1876.0	1414.0	574.0	3.0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta_sp	7015.0	NA	ENA
